;treffen bewegung seite;theater bühne rolle;könig zimmer jung;thl gr kirche;lassen weise mensch;blatt verfasser abendblatt;hiesig finden haus;blatt armee nachricht;könig majestät krankheit;bild kunst künstler;brief stadt richtung;kind jung frau;wissenschaft geist staat;staat nation gesetz;sprechen halten pferd
11_09-1_Buelletin_der_oeffentlichen_Blaetter._11.01.1811;0.0192816635;0.0003780718;0.0003780718;0.0003780718;0.14782608700000002;0.045746691900000004;0.0003780718;0.057088846900000004;0.6657844991;0.0003780718;0.0003780718;0.0003780718;0.045746691900000004;0.015500945200000001;0.0003780718
11_10-1_Buelletin_der_oeffentlichen_Blaetter._12.01.1811;0.0051282051;0.0051282051;0.0051282051;0.0051282051;0.1076923077;0.0051282051;0.0051282051;0.3641025641;0.4666666667;0.0051282051;0.0051282051;0.0051282051;0.0051282051;0.0051282051;0.0051282051
11_10-2_Neueste_Nachrichten._12.01.1811;0.0037735849000000003;0.041509434000000005;0.0037735849000000003;0.0037735849000000003;0.0037735849000000003;0.0037735849000000003;0.0037735849000000003;0.079245283;0.6075471698;0.041509434000000005;0.0037735849000000003;0.0037735849000000003;0.041509434000000005;0.041509434000000005;0.11698113210000001
11_10-3_Ueber_den_Zustand_der_Schwarzen_in_Amerika;0.0015503876;0.0015503876;0.0945736434;0.0015503876;0.28062015500000004;0.0015503876;0.3581395349;0.0945736434;0.0015503876;0.0635658915;0.0015503876;0.0325581395;0.0015503876;0.0635658915;0.0015503876
11_10-4_Kunst-Nachrichten.;0.0385964912;0.0035087719000000002;0.0035087719000000002;0.0035087719000000002;0.0035087719000000002;0.0035087719000000002;0.0035087719000000002;0.2842105263;0.1087719298;0.4245614035;0.0035087719000000002;0.0035087719000000002;0.0035087719000000002;0.0035087719000000002;0.1087719298
11_10-5_Randglosse;0.0039215686000000005;0.0039215686000000005;0.0039215686000000005;0.043137254900000005;0.3568627451;0.0039215686000000005;0.0039215686000000005;0.0039215686000000005;0.043137254900000005;0.0039215686000000005;0.0039215686000000005;0.2392156863;0.0039215686000000005;0.2784313725;0.0039215686000000005
11_10-6_Miscellen._12.01.1811;0.0048780488000000006;0.0048780488000000006;0.3951219512;0.0048780488000000006;0.2487804878;0.0536585366;0.0048780488000000006;0.0048780488000000006;0.0048780488000000006;0.0048780488000000006;0.0048780488000000006;0.0048780488000000006;0.0048780488000000006;0.0048780488000000006;0.2487804878
11_11-1_Buelletin_der_oeffentlichen_Blaetter._14.01.1811;0.0008658009;0.0008658009;0.0008658009;0.0181818182;0.2;0.0008658009;0.0441558442;0.4251082251;0.0008658009;0.0008658009;0.1913419913;0.0961038961;0.009523809500000001;0.0008658009;0.009523809500000001
11_11-2_Ueber_den_Zustand_der_Schwarzen_in_Amerika._Fortsetzung.;0.0635658915;0.0015503876;0.0015503876;0.0015503876;0.3271317829;0.0015503876;0.296124031;0.0480620155;0.0015503876;0.0945736434;0.0015503876;0.1255813953;0.0015503876;0.0015503876;0.0325581395
11_12-1_Buelletin_der_oeffentlichen_Blaetter._15.01.1811;0.0006269592;0.0131661442;0.0006269592;0.0006269592;0.0445141066;0.0006269592;0.0006269592;0.22006269590000002;0.5836990596;0.0006269592;0.0006269592;0.075862069;0.0570532915;0.0006269592;0.0006269592
